Name, School Category, School Management, Email, 
"GGSSS ATELI, Ateli_Municipality , MAHENDRAGARH, HARYANA",Higher Secondary(6-12),N/A,cdggsssateli@gmail.com,Girls,operational,6 to 12,HARYANA, MAHENDRAGARH,Ateli_Municipality
"GGSSS BAHADUR GARH, Bahadurgarh_Notified Area Council , JHAJJAR, HARYANA",Higher Secondary(6-12),N/A,ggsssbahadurgarh3102@gmail.com,Girls,operational,6 to 12,HARYANA, JHAJJAR,Bahadurgarh_Notified Area Council
"GGSSS BALSAMAND, HISAR-II , HISAR, HARYANA",Higher Secondary(6-12),N/A,ggsssbalsamand1427@gmail.com,Co-educational,operational,6 to 12,HARYANA, HISAR,HISAR-II
"GGSSS BARWALA, BARWALA , PANCHKULA, HARYANA",Higher Secondary(6-12),N/A,ggsssbarwalapkl3693@gmail.com,Girls,operational,6 to 12,HARYANA, PANCHKULA,BARWALA
"GGSSS BAWANI KHERA, Bawani Khera_Municipality , BHIWANI, HARYANA",Higher Secondary(6-12),N/A,ggsssbawanikhera@gmail.com,Girls,operational,6 to 12,HARYANA, BHIWANI,Bawani Khera_Municipality
"GGSSS BEHAL, BEHAL , BHIWANI, HARYANA",Higher Secondary(6-12),N/A,ggsss_behal@rediffmail.com,Girls,operational,6 to 12,HARYANA, BHIWANI,BEHAL
"GGSSS BERI, Beri_Municipality , JHAJJAR, HARYANA",Higher Secondary(6-12),N/A,ggsssberi2@gmail.com,Girls,operational,6 to 12,HARYANA, JHAJJAR,Beri_Municipality
"GGSSS BHIWANI, Bhiwani_Notified Area Council , BHIWANI, HARYANA",Higher Secondary(6-12),N/A,ggsssbhiwani2@gmail.com,Girls,operational,6 to 12,HARYANA, BHIWANI,Bhiwani_Notified Area Council
"GGSSS BHUNA, Bhuna_Municipality , FATEHABAD, HARYANA",Higher Secondary(6-12),N/A,bhunaggsss@gmail.com,Girls,operational,6 to 12,HARYANA, FATEHABAD,Bhuna_Municipality
"GGSSS BISRU, PUNAHANA , NUH, HARYANA",Higher Secondary(6-12),N/A,govtghsbisru@gmail.com,Girls,operational,6 to 12,HARYANA, NUH,PUNAHANA
"GGSSS CH. DADRI, Charkhi Dadri_Notified Area Council , CHARKI DADRI, HARYANA",Higher Secondary(6-12),N/A,ggssschdadri02@gmail.com,Girls,operational,6 to 12,HARYANA, CHARKI DADRI,Charkhi Dadri_Notified Area Council
"GGSSS DATAULI, GANAUR , SONIPAT, HARYANA",Higher Secondary(6-12),N/A,,Co-educational,operational,6 to 12,HARYANA, SONIPAT,GANAUR
"GGSSS FARMANA, KHARKHODA , SONIPAT, HARYANA",Higher Secondary(6-12),N/A,gfarmana@gmail.com,Girls,operational,6 to 12,HARYANA, SONIPAT,KHARKHODA
"GGSSS GONDER, NISSING , KARNAL, HARYANA",Higher Secondary(6-12),N/A,principalggsssgonder@gmail.com,Girls,operational,6 to 12,HARYANA, KARNAL,NISSING
"GGSSS HODAL, Hodal_Notified Area Council , PALWAL, HARYANA",Higher Secondary(6-12),N/A,ggssshodal981@gmail.com,Girls,operational,6 to 12,HARYANA, PALWAL,Hodal_Notified Area Council
"GGSSS JAKHAL, JAKHAL MANDI_Municipality , FATEHABAD, HARYANA",Higher Secondary(6-12),N/A,plggsssjakhal20@gmail.com,Girls,operational,6 to 12,HARYANA, FATEHABAD,JAKHAL MANDI_Municipality
"GGSSS JAKHOLI ADDA, Kaithal_Notified Area Council , KAITHAL, HARYANA",Higher Secondary(6-12),N/A,ggsssja@gmail.com,Girls,operational,6 to 12,HARYANA, KAITHAL,Kaithal_Notified Area Council
"GGSSS JHAJJAR, Jhajjar_Municipality , JHAJJAR, HARYANA",Higher Secondary(6-12),N/A,3084ggsssjhajjar@gmail.com,Girls,operational,6 to 12,HARYANA, JHAJJAR,Jhajjar_Municipality
"GGSSS JULANA, Julana_Municipality , JIND, HARYANA",Higher Secondary(6-12),N/A,julanaggsss@gmail.com,Girls,operational,6 to 12,HARYANA, JIND,Julana_Municipality
"GGSSS LOHARU, Loharu_Municipality , BHIWANI, HARYANA",Higher Secondary(6-12),N/A,ggsssloharu@gmail.com,Girls,operational,6 to 12,HARYANA, BHIWANI,Loharu_Municipality
"GGSSS MANGALI, HISAR-I , HISAR, HARYANA",Higher Secondary(6-12),N/A,ggsssmangali1461@gmail.com,Girls,operational,6 to 12,HARYANA, HISAR,HISAR-I
"GGSSS MEHAM, Meham_Municipality , ROHTAK, HARYANA",Higher Secondary(6-12),N/A,principalggsssmeham@gmail.com,Girls,operational,6 to 12,HARYANA, ROHTAK,Meham_Municipality
"GGSSS MODEL TOWN, ROHTAK, Rohtak_Municipal Corporations , ROHTAK, HARYANA",Higher Secondary(6-12),N/A,ggsssmodeltown2676@yahoo.com,Girls,operational,6 to 12,HARYANA, ROHTAK,Rohtak_Municipal Corporations
"GGSSS M.TOWN, Panipat_Municipal Corporations , PANIPAT, HARYANA",Higher Secondary(6-12),N/A,ggsssmt2117@gmail.com,Girls,operational,6 to 12,HARYANA, PANIPAT,Panipat_Municipal Corporations
"GGSSS MURTHAL, MURTHAL , SONIPAT, HARYANA",Higher Secondary(6-12),N/A,,Girls,operational,6 to 12,HARYANA, SONIPAT,MURTHAL
"GGSSS NAGINA, NAGINA , NUH, HARYANA",Higher Secondary(6-12),N/A,gghsnagina0826@gmail.com,Girls,operational,6 to 12,HARYANA, NUH,NAGINA
"GGSSS NAGURAN, ALEWA , JIND, HARYANA",Higher Secondary(6-12),N/A,,Girls,operational,6 to 12,HARYANA, JIND,ALEWA
"GGSSS NANGAL CHAUDHARY, Nangal Chaudhary_Municipality , MAHENDRAGARH, HARYANA",Higher Secondary(6-12),N/A,ggs12249@gmail.com,Girls,operational,6 to 12,HARYANA, MAHENDRAGARH,Nangal Chaudhary_Municipality
"GGSSS NARAINGARH, Naraingarh_Municipality , AMBALA, HARYANA",Higher Secondary(6-12),N/A,principalggsssngh1@gmail.com,Girls,operational,6 to 12,HARYANA, AMBALA,Naraingarh_Municipality
"GGSSS NARNAUL, Narnaul_Notified Area Council , MAHENDRAGARH, HARYANA",Higher Secondary(6-12),N/A,ggsssnarnaul2020l@gmail.com,Girls,operational,6 to 12,HARYANA, MAHENDRAGARH,Narnaul_Notified Area Council
"GGSSS NITNO.2, Faridabad_Municipal Corporations , FARIDABAD, HARYANA",Higher Secondary(6-12),N/A,pggsssno2@gmail.com,Girls,operational,6 to 12,HARYANA, FARIDABAD,Faridabad_Municipal Corporations
"GGSSS PHARAL, DHAND , KAITHAL, HARYANA",Higher Secondary(6-12),N/A,ggsss.pharal1985@gmail.com,Girls,operational,6 to 12,HARYANA, KAITHAL,DHAND
"GGSSS RAJOUND, Rajound_Municipality , KAITHAL, HARYANA",Higher Secondary(6-12),N/A,ggsss.2174@gmail.com,Girls,operational,6 to 12,HARYANA, KAITHAL,Rajound_Municipality
"GGSSS REWARI, Rewari_Notified Area Council , REWARI, HARYANA",Higher Secondary(6-12),N/A,rewariggsss2541@gmail.com,Girls,operational,6 to 12,HARYANA, REWARI,Rewari_Notified Area Council
"GGSSS SAMPLA, Sampla_Municipality , ROHTAK, HARYANA",Higher Secondary(6-12),N/A,govtgssssampla2698@gmail.com,Girls,operational,6 to 12,HARYANA, ROHTAK,Sampla_Municipality
"GGSSS SEC-15, PKL, Panchkula_Municipal Corporations , PANCHKULA, HARYANA",Higher Secondary(6-12),N/A,ggsss15pkl2020@gmail.com,Girls,operational,6 to 12,HARYANA, PANCHKULA,Panchkula_Municipal Corporations
"GGSSS SHAZADPUR, SHAHZADPUR , AMBALA, HARYANA",Higher Secondary(6-12),N/A,ggsssshahzadpur@gmail.com,Girls,operational,6 to 12,HARYANA, AMBALA,SHAHZADPUR
"GGSSS SIWAN, SIWAN , KAITHAL, HARYANA",Higher Secondary(6-12),N/A,ggssssiwan@gmail.com,Girls,operational,6 to 12,HARYANA, KAITHAL,SIWAN
"GGSSS SIWANI, Siwani_Municipality , BHIWANI, HARYANA",Higher Secondary(6-12),N/A,ggssssiwani@gmail.com,Girls,operational,6 to 12,HARYANA, BHIWANI,Siwani_Municipality
"GGSSS SONEPAT, Sonipat_Municipal Corporations , SONIPAT, HARYANA",Higher Secondary(6-12),N/A,ggssscsnp@gmail.com,Girls,operational,6 to 12,HARYANA, SONIPAT,Sonipat_Municipal Corporations
"GGSSS TOHANA, Tohana_Notified Area Council , FATEHABAD, HARYANA",Higher Secondary(6-12),N/A,girlsgovtschool1@gmail.com,Girls,operational,6 to 12,HARYANA, FATEHABAD,Tohana_Notified Area Council
"GGSSS URLANA KALAN, MADLAUDA , PANIPAT, HARYANA",Higher Secondary(6-12),N/A,GGHSU.KALAN@GMAIL.COM,Girls,operational,6 to 12,HARYANA, PANIPAT,MADLAUDA
"GHS BHANGARH, KAIRU , BHIWANI, HARYANA",Secondary/Sr. Sec.(6-10),N/A,gsssbhangarhkairu@gmail.com,Co-educational,operational,6 to 10,HARYANA, BHIWANI,KAIRU
"GHS KHASPUR, SIHMA , MAHENDRAGARH, HARYANA",Secondary/Sr. Sec.(6-10),N/A,,Co-educational,operational,6 to 10,HARYANA, MAHENDRAGARH,SIHMA
"GHS MOHAMMAD KHERA, PILLUKHERA , JIND, HARYANA",Secondary/Sr. Sec.(6-10),N/A,,Co-educational,operational,6 to 10,HARYANA, JIND,PILLUKHERA
"GHS MOULI, RAIPUR RANI , PANCHKULA, HARYANA",Secondary/Sr. Sec.(6-10),N/A,ghsmoulipanchkula1@gmail.com,Co-educational,operational,6 to 10,HARYANA, PANCHKULA,RAIPUR RANI
"GHS SAMLEHRI, RAIPUR RANI , PANCHKULA, HARYANA",Secondary/Sr. Sec.(6-10),N/A,ghssamlehri3775@gmail.com,Co-educational,operational,6 to 10,HARYANA, PANCHKULA,RAIPUR RANI
"GHS SHYAMPURA, SATNALI , MAHENDRAGARH, HARYANA",Secondary/Sr. Sec.(6-10),N/A,,Co-educational,operational,6 to 10,HARYANA, MAHENDRAGARH,SATNALI
"GMSSS PRATAP NAGAR, PARTAP NAGAR , YAMUNANAGAR, HARYANA",Higher Secondary(6-12),N/A,,Co-educational,operational,6 to 12,HARYANA, YAMUNANAGAR,PARTAP NAGAR
"GSSS AGONDH, CHIRAO , KARNAL, HARYANA",Higher Secondary(6-12),N/A,gsssagondhkarnal1767@gmail.com,Co-educational,operational,6 to 12,HARYANA, KARNAL,CHIRAO
"GSSS AKERA, DHARUHERA , REWARI, HARYANA",Higher Secondary(6-12),N/A,gsssakera5915@gmail.com,Co-educational,operational,6 to 12,HARYANA, REWARI,DHARUHERA
"GSSS ALEWA, ALEWA , JIND, HARYANA",Higher Secondary(6-12),N/A,pplgsssalewa01568@gmail.com,Co-educational,operational,6 to 12,HARYANA, JIND,ALEWA
"GSSS A.P. BAROTA, RAI , SONIPAT, HARYANA",Higher Secondary(6-12),N/A,gsssakbarpurbarota@gmail.com,Co-educational,operational,6 to 12,HARYANA, SONIPAT,RAI
"GSSS ARUA, TIGAON , FARIDABAD, HARYANA",Higher Secondary(6-12),N/A,,Co-educational,operational,6 to 12,HARYANA, FARIDABAD,TIGAON
"GSSS ASOATI, PRITHLA , PALWAL, HARYANA",Higher Secondary(6-12),N/A,ghsasaoti.1171@gmail.com,Co-educational,operational,6 to 12,HARYANA, PALWAL,PRITHLA
"GSSS ASSANDH, Assandh_Municipality , KARNAL, HARYANA",Higher Secondary(6-12),N/A,principalgsss.asd1768@gmail.com,Boys,operational,6 to 12,HARYANA, KARNAL,Assandh_Municipality
"GSSS BADANPUR, UCHANA , JIND, HARYANA",Higher Secondary(6-12),N/A,,Co-educational,operational,6 to 12,HARYANA, JIND,UCHANA
"GSSS BADOLI, MURTHAL , SONIPAT, HARYANA",Higher Secondary(6-12),N/A,principalgsssbadoli@gmail.com,Co-educational,operational,6 to 12,HARYANA, SONIPAT,MURTHAL
"GSSS BAGPUR, BADOLI , PALWAL, HARYANA",Higher Secondary(6-12),N/A,,Co-educational,operational,6 to 12,HARYANA, PALWAL,BADOLI
"GSSS BAIJALPUR, BHUNA , FATEHABAD, HARYANA",Higher Secondary(6-12),N/A,headmasterghsbaijalpur@gmail.com,Co-educational,operational,6 to 12,HARYANA, FATEHABAD,BHUNA
"GSSS BAJINA, TOSHAM , BHIWANI, HARYANA",Higher Secondary(6-12),N/A,ghsbajina@gmail.com,Co-educational,operational,6 to 12,HARYANA, BHIWANI,TOSHAM
"GSSS BALAK, BARWALA , HISAR, HARYANA",Higher Secondary(6-12),N/A,principalgsssbalak@gmail.com,Co-educational,operational,6 to 12,HARYANA, HISAR,BARWALA
"GSSS BALBEHRA, GUHLA , KAITHAL, HARYANA",Higher Secondary(6-12),N/A,gsssbalbehra1@gmail.com,Co-educational,operational,6 to 12,HARYANA, KAITHAL,GUHLA
"GSSS BALDEV NAGAR, A/CITY, Ambala_Municipal Corporations , AMBALA, HARYANA",Higher Secondary(6-12),N/A,,Co-educational,operational,6 to 12,HARYANA, AMBALA,Ambala_Municipal Corporations
"GSSS BAL RAJPUTAN, MUNAK , KARNAL, HARYANA",Higher Secondary(6-12),N/A,principalbalrangran@gmail.com,Co-educational,operational,6 to 12,HARYANA, KARNAL,MUNAK
"GSSS BANI, LADWA , KURUKSHETRA, HARYANA",Higher Secondary(6-12),N/A,gsssbaniladwa@gmail.com,Co-educational,operational,6 to 12,HARYANA, KURUKSHETRA,LADWA
"GSSS BANI, LADWA , KURUKSHETRA, HARYANA",Higher Secondary(6-12),N/A,gsssbaniladwa@gmail.com,Co-educational,operational,6 to 12,HARYANA, KURUKSHETRA,LADWA
"GSSS BARAGAON, KUNJPURA , KARNAL, HARYANA",Higher Secondary(6-12),N/A,gsssbaragoan1770@gmail.com,Co-educational,operational,6 to 12,HARYANA, KARNAL,KUNJPURA
"GSSS BARAGUDHA, BARAGUDHA , SIRSA, HARYANA",Higher Secondary(6-12),N/A,baragudhagsssprincipal@gmail.com,Co-educational,operational,6 to 12,HARYANA, SIRSA,BARAGUDHA
"GSSS BARNA, THANESAR , KURUKSHETRA, HARYANA",Higher Secondary(6-12),N/A,gsssbarnakkr@gmail.com,Co-educational,operational,6 to 12,HARYANA, KURUKSHETRA,THANESAR
"GSSS BATTA, KALAYAT , KAITHAL, HARYANA",Higher Secondary(6-12),N/A,gsssbatta8@gmail.com,Co-educational,operational,6 to 12,HARYANA, KAITHAL,KALAYAT
"GSSS BAWAL, Bawal_Municipality , REWARI, HARYANA",Higher Secondary(6-12),N/A,gsssbawal15@gmail.com,Boys,operational,6 to 12,HARYANA, REWARI,Bawal_Municipality
"GSSS BAZID PUR, PINGWAN , NUH, HARYANA",Higher Secondary(6-12),N/A,gsssbazidpur@gmail.com,Co-educational,operational,6 to 12,HARYANA, NUH,PINGWAN
"GSSS BHABALPUR, BARWALA , HISAR, HARYANA",Higher Secondary(6-12),N/A,principalbehbalpur2019@gmail.com,Co-educational,operational,6 to 12,HARYANA, HISAR,BARWALA
"GSSS BHAMBHOL, SARASWATI NAGAR , YAMUNANAGAR, HARYANA",Higher Secondary(6-12),N/A,200gsssbhambol@gmail.com,Co-educational,operational,6 to 12,HARYANA, YAMUNANAGAR,SARASWATI NAGAR
"GSSS BHANA BRAHMANAN, NARWANA , JIND, HARYANA",Higher Secondary(6-12),N/A,gsssbhana1516@gmail.com,Co-educational,operational,6 to 12,HARYANA, JIND,NARWANA
"GSSS BHANGROLA, Manesar_Municipal Corporations , GURUGRAM, HARYANA",Higher Secondary(6-12),N/A,,Co-educational,operational,6 to 12,HARYANA, GURUGRAM,Manesar_Municipal Corporations
"GSSS BHATOL KHARKARA, HANSI-II , HISAR, HARYANA",Higher Secondary(6-12),N/A,plgsssbhatolkharkara@gmail.com,Co-educational,operational,6 to 12,HARYANA, HISAR,HANSI-II
"GSSS BHOJAWAS, KANINA , MAHENDRAGARH, HARYANA",Higher Secondary(6-12),N/A,principal.bhojawas@gmail.com,Co-educational,operational,6 to 12,HARYANA, MAHENDRAGARH,KANINA
"GSSS BHORA KALAN, PATAUDI , GURUGRAM, HARYANA",Higher Secondary(6-12),N/A,bhorakalan0683@gmail.com,Co-educational,operational,6 to 12,HARYANA, GURUGRAM,PATAUDI
"GSSS BHUNA, GUHLA , KAITHAL, HARYANA",Higher Secondary(6-12),N/A,ghsbhuna@gmail.com,Co-educational,operational,6 to 12,HARYANA, KAITHAL,GUHLA
"GSSS BHURATWALA, ELLENABAD , SIRSA, HARYANA",Higher Secondary(6-12),N/A,gsssbhuratwala@gmail.com,Co-educational,operational,6 to 12,HARYANA, SIRSA,ELLENABAD
"GSSS BIJJUWALI, DABWALI , SIRSA, HARYANA",Higher Secondary(6-12),N/A,gsssbijjuwali2941@gmail.com,Co-educational,operational,6 to 12,HARYANA, SIRSA,DABWALI
"GSSS BISHANPURA, JIND , JIND, HARYANA",Higher Secondary(6-12),N/A,ghsbishanpura01651@gmail.com,Co-educational,operational,6 to 12,HARYANA, JIND,JIND
"GSSS BITHWANA, REWARI , REWARI, HARYANA",Higher Secondary(6-12),N/A,gsssbithwana2022@gmail.com,Co-educational,operational,6 to 12,HARYANA, REWARI,REWARI
"GSSS CHAKKARPUR, Gurugram_Municipal Corporations , GURUGRAM, HARYANA",Higher Secondary(6-12),N/A,gssschakkarpur0751@gmail.com,Co-educational,operational,6 to 12,HARYANA, GURUGRAM,Gurugram_Municipal Corporations
"GSSS CHAMAR KHERA, UKLANA , HISAR, HARYANA",Higher Secondary(6-12),N/A,gssschamarkhera6542@gmail.com,Co-educational,operational,6 to 12,HARYANA, HISAR,UKLANA
"GSSS CHAMRORI, RADAUR , YAMUNANAGAR, HARYANA",Higher Secondary(6-12),N/A,,Co-educational,operational,6 to 12,HARYANA, YAMUNANAGAR,RADAUR
"GSSS CHAPPAR, CHARKHI DADRI , CHARKI DADRI, HARYANA",Higher Secondary(6-12),N/A,plgssschhapar@gmail.com,Co-educational,operational,6 to 12,HARYANA, CHARKI DADRI,CHARKHI DADRI
"GSSS CHAUTALA, DABWALI , SIRSA, HARYANA",Higher Secondary(6-12),N/A,plgssschautala@gmail.com,Boys,operational,6 to 12,HARYANA, SIRSA,DABWALI
"GSSS CHHAJPUR KALAN, SANAULI KHURD , PANIPAT, HARYANA",Higher Secondary(6-12),N/A,principal.chhajpur@gmail.com,Co-educational,operational,6 to 12,HARYANA, PANIPAT,SANAULI KHURD
"GSSS CHOCHRA, ASSANDH , KARNAL, HARYANA",Higher Secondary(6-12),N/A,crcchochra@gmail.com,Co-educational,operational,6 to 12,HARYANA, KARNAL,ASSANDH
"GSSS DADRI TOE, BADLI , JHAJJAR, HARYANA",Higher Secondary(6-12),N/A,principalgsss3079@gmail.com,Co-educational,operational,6 to 12,HARYANA, JHAJJAR,BADLI
"GSSS DAHAR, ISRANA , PANIPAT, HARYANA",Higher Secondary(6-12),N/A,gsssdahar2087@gmail.com,Co-educational,operational,6 to 12,HARYANA, PANIPAT,ISRANA
"GSSS DAMLA, JAGADHRI , YAMUNANAGAR, HARYANA",Higher Secondary(6-12),N/A,,Co-educational,operational,6 to 12,HARYANA, YAMUNANAGAR,JAGADHRI
"GSSS DAULAH, SOHNA , GURUGRAM, HARYANA",Higher Secondary(6-12),N/A,,Co-educational,operational,6 to 12,HARYANA, GURUGRAM,SOHNA
"GSSS D BLOCK, HISAR-II , HISAR, HARYANA",Higher Secondary(6-12),N/A,ggsssdhandoorhsr2@gmail.com,Co-educational,operational,6 to 12,HARYANA, HISAR,HISAR-II
"GSSS DEVIDASPURA, Thanesar_Notified Area Council , KURUKSHETRA, HARYANA",Higher Secondary(6-12),N/A,gsssdevidasspurakkr@gmail.com,Co-educational,operational,6 to 12,HARYANA, KURUKSHETRA,Thanesar_Notified Area Council
"GSSS DHANGAR, FATEHABAD , FATEHABAD, HARYANA",Higher Secondary(6-12),N/A,gsssdhanger1@gmail.com,Co-educational,operational,6 to 12,HARYANA, FATEHABAD,FATEHABAD
"GSSS DHIGAWA JATTAN, LOHARU , BHIWANI, HARYANA",Higher Secondary(6-12),N/A,principaldhigawa@gmail.com,Co-educational,operational,6 to 12,HARYANA, BHIWANI,LOHARU
"GSSS DHOOLGARH GULDHERA, PEHOWA , KURUKSHETRA, HARYANA",Higher Secondary(6-12),N/A,gsss2432@gmail.com,Co-educational,operational,6 to 12,HARYANA, KURUKSHETRA,PEHOWA
"GSSS DING, NATHUSARI CHOPTA , SIRSA, HARYANA",Higher Secondary(6-12),N/A,principalding2823@gmail.com,Co-educational,operational,6 to 12,HARYANA, SIRSA,NATHUSARI CHOPTA
"GSSS DUDHLA MORTHLA, PIPLI , KURUKSHETRA, HARYANA",Higher Secondary(6-12),N/A,gsssdm2396@gmail.com,Co-educational,operational,6 to 12,HARYANA, KURUKSHETRA,PIPLI
"GSSS DUJANA, JHAJJAR , JHAJJAR, HARYANA",Higher Secondary(6-12),N/A,plgsssdujana@gmail.com,Co-educational,operational,6 to 12,HARYANA, JHAJJAR,JHAJJAR
"GSSS DURANA, AMBALA-I , AMBALA, HARYANA",Higher Secondary(6-12),N/A,gsssdurana12@gmail.com,Co-educational,operational,6 to 12,HARYANA, AMBALA,AMBALA-I
"GSSS DURJANPUR, AGROHA , HISAR, HARYANA",Higher Secondary(6-12),N/A,pldurjanpur1211@gmail.com,Co-educational,operational,6 to 12,HARYANA, HISAR,AGROHA
"GSSS FATEHPUR TAGGA, FARIDABAD , FARIDABAD, HARYANA",Higher Secondary(6-12),N/A,ghsfatehpurtagga@gmail.com,Co-educational,operational,6 to 12,HARYANA, FARIDABAD,FARIDABAD
"GSSS FEROZPUR NAMAK, NUH , NUH, HARYANA",Higher Secondary(6-12),N/A,gsssfpnamak2019@gmail.com,Co-educational,operational,6 to 12,HARYANA, NUH,NUH
"GSSS GAJUWALA, TOHANA , FATEHABAD, HARYANA",Higher Secondary(6-12),N/A,gsssgajuwala@gmail.com,Co-educational,operational,6 to 12,HARYANA, FATEHABAD,TOHANA
"GSSS GANDHI NAGAR, ROHTAK, Rohtak_Municipal Corporations , ROHTAK, HARYANA",Higher Secondary(6-12),N/A,gsssgandhinagar2@gmail.com,Boys,operational,6 to 12,HARYANA, ROHTAK,Rohtak_Municipal Corporations
"GSSS GANGWA, HISAR-I , HISAR, HARYANA",Higher Secondary(6-12),N/A,sio.gsssgangwa@gmail.com,Co-educational,operational,6 to 12,HARYANA, HISAR,HISAR-I
"GSSS GARHI BIRBAL, INDRI , KARNAL, HARYANA",Higher Secondary(6-12),N/A,gsssgarhibirbal01783@gmail.com,Co-educational,operational,6 to 12,HARYANA, KARNAL,INDRI
"GSSS GARHI UJALE KHAN, GOHANA , SONIPAT, HARYANA",Higher Secondary(6-12),N/A,plgsssgarhiuk@gmail.com,Co-educational,operational,6 to 12,HARYANA, SONIPAT,GOHANA
"GSSS GHAMROJ ALIPUR, SOHNA , GURUGRAM, HARYANA",Higher Secondary(6-12),N/A,gsssghamrojalipur1@gmail.com,Co-educational,operational,6 to 12,HARYANA, GURUGRAM,SOHNA
"GSSS GHARROT, HATHIN , PALWAL, HARYANA",Higher Secondary(6-12),N/A,,Co-educational,operational,6 to 12,HARYANA, PALWAL,HATHIN
"GSSS GHEL, AMBALA-II , AMBALA, HARYANA",Higher Secondary(6-12),N/A,,Co-educational,operational,6 to 12,HARYANA, AMBALA,AMBALA-II
"GSSS GUJAR MAJRI, BAWAL , REWARI, HARYANA",Higher Secondary(6-12),N/A,gsssgujarmajri@gmail.com,Co-educational,operational,6 to 12,HARYANA, REWARI,BAWAL
"GSSS GULAWAD, HASSANPUR , PALWAL, HARYANA",Higher Secondary(6-12),N/A,,Co-educational,operational,6 to 12,HARYANA, PALWAL,HASSANPUR
"GSSS HABRI, PUNDRI , KAITHAL, HARYANA",Higher Secondary(6-12),N/A,pplgssshabri@gmail.com,Co-educational,operational,6 to 12,HARYANA, KAITHAL,PUNDRI
"GSSS HIZRAWAN KHURD, NAGPUR , FATEHABAD, HARYANA",Higher Secondary(6-12),N/A,gsss3371@yahoo.com,Co-educational,operational,6 to 12,HARYANA, FATEHABAD,NAGPUR
"GSSS IKKAS, JIND , JIND, HARYANA",Higher Secondary(6-12),N/A,,Co-educational,operational,6 to 12,HARYANA, JIND,JIND
"GSSS INDRI, INDRI , NUH, HARYANA",Higher Secondary(6-12),N/A,gsssindri@gmail.com,Co-educational,operational,6 to 12,HARYANA, NUH,INDRI
"GSSS INDRI (BOYS), Indri_Municipality , KARNAL, HARYANA",Higher Secondary(6-12),N/A,gsssindrikarnal1786@gmail.com,Boys,operational,6 to 12,HARYANA, KARNAL,Indri_Municipality
"GSSS JAIDHAR, PARTAP NAGAR , YAMUNANAGAR, HARYANA",Higher Secondary(6-12),N/A,GSSSJAIDHAR277@GMAIL.COM,Co-educational,operational,6 to 12,HARYANA, YAMUNANAGAR,PARTAP NAGAR
"GSSS JALALPUR-1, SANAULI KHURD , PANIPAT, HARYANA",Higher Secondary(6-12),N/A,,Co-educational,operational,6 to 12,HARYANA, PANIPAT,SANAULI KHURD
