"DL Chandigarh","lawsdept@pu.ac.in"
"GHSC Chandigarh","Email not found"
"PEC Chandigarh","admissionug@pec.ac.in"
"Goswami Ganesh Dutta S.D. College","sdcc32@gmail.com"
"POST GRADUATE GOVERNMENT COLLEGE FOR GIRLS, SECTOR-11 CHANDIGARH","Email not found"
"Universal Group of Institutions, Lalru, Chandigarh","deancorporateaffairs@ugichd.edu.in"
"Sri Guru Granth Sahib World University","info@sggswu.edu.in"
"Dr. Harvansh Singh Judge Institute of Dental Sciences & Hospital","directordental@pu.ac.in"
"Government Polytechnic for Women (GPW), Chandigarh","Email not found"
"National Dental College & Hospital","ndch1234@gmail.com"
"ISTC Chandigarh","Email not found"
"UBS Chandigarh","webman@pu.ac.in"
"CCA Chandigarh","Email not found"
"CCET Chandigarh","academics@ccet.ac.in"
"UILS Chandigarh","regr@pu.ac.in"
"IHM Chandigarh","admissions@ihmindia.in"
"MCM DAV College for Women","Email not found"
"Rayat & Bahra Institute of Management","rbim@rayatbaha.com"
"Sanjeevni Institute of Paramedical Sciences","info@sanjeevni.in"
"Dev Samaj College of Education (DSCE), Chandigarh","info@devsamaj.org"
"GCG 11 Chandigarh","principal_gcg@yahoo.com"
"NIPER Mohali","cc@niper.ac.in"
"Chandigarh University","admissions@cumail.in"
"CGC Landran","admissions@cgc.edu.in"
"Rayat Bahra University","info@rayatbahra.com"
"Army institute of Law (AIL), Mohali","info@ail.ac.in"
"CGC Jhanjeri","info@cgc.ac.in"
"IISER Mohali","Email not found"
"Doaba Group of Colleges","Admissions@Dgc.Edu.In"
"Sri Sukhmani Group of Institutions","registrar@srisukhmanigroup.edu.in"
"Shaheed Udham Singh Group Of Institutions","director@sus.edu.in"
"Amity University Punjab","admissions@pb.amity.edu"
"Quest Group of Institutions","admission@questgoi.org"
"Rattan Group Of Institutions","Email not found"
"Saraswati Nursing Institute","info@saraswati-kurali.org"
"Punjab Group Of Colleges","contact@pgc.edu.in"
"Indo Global Group Of Colleges","contact@igef.net"
"Ram Devi Jindal Group Of Professional Institutions","admissions@rdginstitutions.com"
"Rayat and Bahra Institute of Pharmacy","rbip@rayatbahra.com"
"Universal Institute Of Management And Technology","spain@uimtonline.com"
"Adesh Institute Of Technology (AIT), Mohali","aitgharuan@gmail.com"
"Swami Parmanand Polytechnic","registrar@spcet.org"
"Punjabi University Regional Centre for Information Technology and Management","purcitm@gmail.com"
"SPCET Mohali","Email not found"
"Rayat & Bahra Institute of Engineering & Bio-Technology","rbiebt@rayatbahra.com"
"SPCET Mohali","principal@spcet.org"
"SWAMI PARMANAND ENGINEERING COLLEGE","infospec.lalru08@gmail.com"
"RAM DEVI JINDAL EDUCATIONAL CHARITABLE SOCIETY GROUP OF INSTIUTIONS","smita.rdj@gmail.com"
"Rattan Professional Education College (College of Nursing)","rgi.admissions@gmail.com"
"Sachdeva College of Pharmacy, Gharuan","sachdevacollegeofpharmacy@gmail.com"
"Longowal Polytechnic College","lppcderabassi@gmail.com"
"Swami Devi Dayal Hospital & Dental College","info@sddgpi.com"
"SWAMI DEVI DYAL INSTITUTE OF ENGINEERING","Email not found"
"Swami Devi Dyal Group Of Professional Institutions","admissions@sddgpi.com"
"Shree Ram Institute of Technical Education","srite55@rediffmail.com"
"GC Panchkula","gc1_panchkula@yahoo.co.in"
"Mother Teresa Saket College Of Physiotherapy","saketprincipal@gmail.com"
"SHREE RAM INSTITUTE OFTECHNICAL EDUCATION","Email not found"
"Kautilya (Pvt) Industrial Training Institute","info@kautilyaindia.org"
"Govt. Polytechnic for Women (GPW), Panchkula","er.asha2005@gmail.com"
"Panchkula Engineering College","pec.pkl@gmail.com"
"Shree Ram Mulkh College of Education","srmiet@hotmail.com"
"Kailash Institute Of Health & Medical Sciences","support@kihmsnursing.com"
"Shree Sat Guru Dev College of Education Goalpura Barwala","Email not found"
